#Seconds PMCAoutFlux PMCAleakFlux
0 0 0
1e-05 0 0
2e-05 1 0
3e-05 1 0
4e-05 1 0
5e-05 1 1
6e-05 1 1
7e-05 2 1
8e-05 3 1
9e-05 3 1
0.0001 3 1
0.00011 3 1
0.00012 3 1
0.00013 5 1
0.00014 5 1
0.00015 5 1
0.00016 6 1
0.00017 6 1
0.00018 6 1
0.00019 6 1
0.0002 6 1
0.00021 6 1
0.00022 6 2
0.00023 6 3
0.00024 6 3
0.00025 6 3
0.00026 7 3
0.00027 8 3
0.00028 8 3
0.00029 8 5
0.0003 8 6
0.00031 8 7
0.00032 8 7
0.00033 8 8
0.00034 8 8
0.00035 9 8
0.00036 10 8
0.00037 10 8
0.00038 10 8
0.00039 11 8
0.0004 11 8
0.00041 12 8
0.00042 12 8
0.00043 12 8
0.00044 12 8
0.00045 12 8
0.00046 12 8
0.00047 12 10
0.00048 12 10
0.00049 12 10
0.0005 12 11
0.00051 12 11
0.00052 12 11
0.00053 11 13
0.00054 11 13
0.00055 11 13
0.00056 11 13
0.00057 11 13
0.00058 11 13
0.00059 11 13
0.0006 11 13
0.00061 11 13
0.00062 11 14
0.00063 11 14
0.00064 11 15
0.00065 11 17
0.00066 13 17
0.00067 13 17
0.00068 13 17
0.00069 13 17
0.0007 13 17
0.00071 14 18
0.00072 14 18
0.00073 14 18
0.00074 14 18
0.00075 14 18
0.00076 14 18
0.00077 14 18
0.00078 14 18
0.00079 14 19
0.0008 14 19
0.00081 14 19
0.00082 14 19
0.00083 15 19
0.00084 15 19
0.00085 15 19
0.00086 15 19
0.00087 15 19
0.00088 15 20
0.00089 15 20
0.0009 15 20
0.00091 15 20
0.00092 16 20
0.00093 16 20
0.00094 16 20
0.00095 16 21
0.00096 16 22
0.00097 16 22
0.00098 16 22
0.00099 17 22
0.001 17 22
0.00101 17 22
0.00102 17 22
0.00103 17 22
0.00104 17 22
0.00105 17 22
0.00106 17 22
0.00107 17 22
0.00108 17 22
0.00109 17 24
0.0011 17 24
0.00111 17 24
0.00112 17 24
0.00113 18 24
0.00114 19 25
0.00115 20 25
0.00116 20 25
0.00117 20 26
0.00118 20 26
0.00119 20 26
0.0012 20 27
0.00121 20 27
0.00122 22 28
0.00123 23 28
0.00124 23 28
0.00125 25 28
0.00126 25 28
0.00127 25 28
0.00128 25 28
0.00129 24 29
0.0013 24 29
0.00131 24 29
0.00132 24 29
0.00133 24 29
0.00134 24 29
0.00135 24 29
0.00136 25 29
0.00137 25 29
0.00138 25 29
0.00139 25 29
0.0014 25 30
0.00141 25 30
0.00142 25 30
0.00143 25 30
0.00144 26 30
0.00145 26 31
0.00146 26 31
0.00147 26 31
0.00148 26 31
0.00149 26 32
0.0015 26 32
0.00151 26 32
0.00152 27 32
0.00153 28 32
0.00154 28 32
0.00155 28 32
0.00156 29 32
0.00157 29 32
0.00158 29 33
0.00159 30 33
0.0016 30 33
0.00161 30 33
0.00162 30 33
0.00163 30 33
0.00164 30 33
0.00165 30 33
0.00166 30 33
0.00167 30 33
0.00168 30 33
0.00169 30 33
0.0017 30 33
0.00171 30 33
0.00172 30 33
0.00173 31 33
0.00174 31 34
0.00175 31 34
0.00176 31 34
0.00177 31 34
0.00178 32 34
0.00179 32 34
0.0018 32 34
0.00181 33 34
0.00182 33 34
0.00183 34 34
0.00184 34 34
0.00185 34 35
0.00186 36 35
0.00187 35 35
0.00188 35 35
0.00189 35 35
0.0019 35 35
0.00191 35 36
0.00192 35 36
0.00193 36 36
0.00194 37 36
0.00195 37 36
0.00196 37 36
0.00197 37 36
0.00198 37 36
0.00199 37 36
0.002 37 36
0.00201 37 36
0.00202 37 36
0.00203 37 36
0.00204 37 36
0.00205 37 36
0.00206 37 36
0.00207 37 36
0.00208 37 36
0.00209 37 36
0.0021 37 36
0.00211 37 36
0.00212 38 36
0.00213 39 36
0.00214 40 36
0.00215 40 36
0.00216 41 37
0.00217 41 37
0.00218 41 37
0.00219 42 38
0.0022 42 38
0.00221 42 38
0.00222 42 38
0.00223 42 39
0.00224 42 39
0.00225 44 39
0.00226 45 39
0.00227 45 40
0.00228 46 41
0.00229 46 41
0.0023 47 41
0.00231 49 41
0.00232 50 41
0.00233 52 41
0.00234 53 41
0.00235 54 42
0.00236 55 42
0.00237 55 42
0.00238 56 42
0.00239 56 42
0.0024 57 43
0.00241 59 44
0.00242 59 44
0.00243 59 44
0.00244 59 44
0.00245 60 44
0.00246 62 44
0.00247 63 44
0.00248 65 44
0.00249 65 44
0.0025 66 44
0.00251 66 44
0.00252 66 44
0.00253 67 44
0.00254 71 44
0.00255 72 44
0.00256 73 44
0.00257 74 44
0.00258 75 44
0.00259 75 44
0.0026 76 44
0.00261 77 44
0.00262 78 44
0.00263 78 45
0.00264 79 45
0.00265 79 46
0.00266 80 46
0.00267 81 46
0.00268 83 47
0.00269 85 47
0.0027 86 47
0.00271 87 47
