#Seconds Ca.Conc.az Ca.Pre
0 0 58
1e-05 0 59
2e-05 0 59
3e-05 0 62
4e-05 0 60
5e-05 0 61
6e-05 0 61
7e-05 0 60
8e-05 0 59
9e-05 0 62
0.0001 0 60
0.00011 0 59
0.00012 0 61
0.00013 0 60
0.00014 0 59
0.00015 0 59
0.00016 0 57
0.00017 0 55
0.00018 0 55
0.00019 0 50
0.0002 0 50
0.00021 0 48
0.00022 0 52
0.00023 0 58
0.00024 0 57
0.00025 0 53
0.00026 0 55
0.00027 0 57
0.00028 0 63
0.00029 0 63
0.0003 0 58
0.00031 0 60
0.00032 0 60
0.00033 0 57
0.00034 0 61
0.00035 0.346147911 62
0.00036 1.05767417 60
0.00037 1.02908838 60
0.00038 1.00200711 61
0.00039 0.976314622 60
0.0004 1.08171222 66
0.00041 1.055329 67
0.00042 1.03020212 65
0.00043 1.00624393 61
0.00044 0.983374748 60
0.00045 0.961521976 57
0.00046 0.940619324 58
0.00047 0.920606147 55
0.00048 0.901426852 53
0.00049 0.883030386 55
0.0005 0.865369778 54
0.00051 0.848401743 57
0.00052 0.832086325 57
0.00053 0.816386583 54
0.00054 0.801268313 53
0.00055 0.786699798 53
0.00056 0.772651588 52
0.00057 0.759096297 51
0.00058 0.74600843 51
0.00059 0.733364219 50
0.0006 0.721141482 49
0.00061 0.70931949 49
0.00062 0.697878853 54
0.00063 0.686801411 54
0.00064 0.676070139 54
0.00065 0.66566906 59
0.00066 0.655583165 59
0.00067 0.645798342 60
0.00068 0.636301308 61
0.00069 0.627079549 58
0.0007 0.61812127 55
0.00071 0.609415337 58
0.00072 0.600951235 70
0.00073 0.592719026 78
0.00074 0.58470931 83
0.00075 0.576913185 92
0.00076 0.569322223 99
0.00077 0.561928427 97
0.00078 0.554724217 105
0.00079 0.547702391 109
0.0008 0.540856111 108
0.00081 0.534178875 109
0.00082 0.527664499 108
0.00083 0.521307095 115
0.00084 0.515101058 117
0.00085 0.509041046 123
0.00086 0.503121964 124
0.00087 0.497338953 132
0.00088 0.491687374 144
0.00089 0.486162797 159
0.0009 0.480760988 191
0.00091 0.4754779 211
0.00092 0.470309662 221
0.00093 0.465252569 247
0.00094 0.460303074 268
0.00095 0.455457778 291
0.00096 0.450713426 297
0.00097 0.446066896 311
0.00098 0.441515193 325
0.00099 0.437055444 345
0.001 0.449992285 363
0.00101 0.445536916 368
0.00102 0.441168907 384
0.00103 0.436885713 409
0.00104 0.432684889 421
0.00105 0.428564081 437
0.00106 0.48983195 457
0.00107 0.61465517 479
0.00108 0.624989284 488
0.00109 0.666890471 510
0.0011 1.08564572 529
0.00111 1.07586513 538
0.00112 1.06625919 541
0.00113 1.07213955 544
0.00114 1.06273482 554
0.00115 1.09864337 568
0.00116 1.08917231 589
0.00117 1.07986314 601
0.00118 1.07071176 602
0.00119 1.09080224 602
0.0012 1.15382637 607
0.00121 1.25871968 627
0.00122 1.2484023 658
