#Seconds h0m0 h0m1 h0m2 h1m0 h1m1 h1m2 h2m0 h2m1 h2m2
0 14113 3420 201 5946 1440 87 629 154 9
1e-05 14116 3418 201 5944 1442 87 628 154 9
2e-05 14114 3420 201 5944 1442 87 628 154 9
3e-05 14114 3420 201 5944 1442 87 628 154 9
4e-05 14113 3421 201 5943 1443 87 628 154 9
5e-05 14112 3423 201 5941 1444 87 628 154 9
6e-05 14112 3422 202 5943 1442 87 628 154 9
7e-05 14111 3424 202 5944 1440 87 627 155 9
8e-05 14113 3423 202 5944 1439 87 627 155 9
9e-05 14112 3424 202 5945 1439 87 626 155 9
0.0001 14112 3424 202 5944 1440 87 627 154 9
0.00011 14112 3424 202 5944 1440 87 626 155 9
0.00012 14114 3422 202 5945 1438 88 626 155 9
0.00013 14111 3425 202 5942 1440 88 627 155 9
0.00014 14111 3425 202 5943 1439 88 627 155 9
0.00015 14110 3426 202 5943 1439 88 627 155 9
0.00016 14109 3427 202 5943 1439 88 627 155 9
0.00017 14106 3430 202 5943 1440 88 626 155 9
0.00018 14106 3430 202 5942 1441 88 626 155 9
0.00019 14106 3429 203 5942 1441 88 626 155 9
0.0002 14106 3428 204 5942 1441 88 626 155 9
0.00021 14106 3428 204 5942 1441 88 626 155 9
0.00022 14109 3426 204 5941 1441 88 626 155 9
0.00023 14111 3425 203 5942 1440 88 626 155 9
0.00024 14109 3426 203 5945 1438 88 626 155 9
0.00025 14111 3425 203 5945 1437 88 626 155 9
0.00026 14110 3426 203 5947 1435 88 626 155 9
0.00027 14110 3426 203 5947 1435 88 626 155 9
0.00028 14110 3426 203 5947 1435 88 626 155 9
0.00029 14110 3426 203 5949 1433 88 626 155 9
0.0003 14110 3425 204 5949 1433 88 626 155 9
0.00031 14112 3425 204 5946 1434 88 626 155 9
0.00032 14111 3426 204 5947 1431 88 628 155 9
0.00033 14110 3426 204 5946 1433 88 627 156 9
0.00034 14113 3424 204 5944 1434 88 627 156 9
0.00035 14113 3425 204 5944 1434 88 626 156 9
0.00036 14113 3425 204 5944 1434 88 626 156 9
0.00037 14112 3426 204 5944 1435 87 626 156 9
0.00038 14114 3424 204 5944 1435 87 626 156 9
0.00039 14114 3424 204 5944 1435 87 626 156 9
0.0004 14115 3423 204 5943 1436 87 627 155 9
0.00041 14116 3421 205 5944 1435 87 627 155 9
0.00042 14116 3420 206 5942 1437 87 627 155 9
0.00043 14116 3420 206 5943 1436 87 627 155 9
0.00044 14119 3415 208 5942 1437 87 627 155 9
0.00045 14121 3414 208 5942 1436 87 627 155 9
0.00046 14122 3414 207 5942 1436 87 627 155 9
0.00047 14122 3415 207 5940 1437 87 627 155 9
0.00048 14121 3415 207 5942 1436 87 626 156 9
0.00049 14121 3414 207 5943 1437 86 626 156 9
0.0005 14119 3416 207 5944 1437 85 626 156 9
0.00051 14120 3416 206 5943 1439 85 626 155 9
0.00052 14122 3414 206 5943 1439 85 626 155 9
0.00053 14123 3413 206 5941 1441 85 626 156 8
0.00054 14121 3416 206 5939 1442 85 626 156 8
0.00055 14121 3414 207 5939 1442 85 627 156 8
0.00056 14119 3415 208 5939 1442 85 627 156 8
0.00057 14121 3412 208 5940 1442 85 627 156 8
0.00058 14119 3413 208 5941 1441 86 627 156 8
0.00059 14121 3412 208 5942 1439 86 627 156 8
0.0006 14123 3410 208 5941 1440 86 628 155 8
0.00061 14125 3408 208 5940 1441 86 628 155 8
0.00062 14126 3406 208 5939 1443 86 628 155 8
0.00063 14128 3404 208 5938 1444 86 628 155 8
0.00064 14128 3405 207 5941 1441 86 628 155 8
0.00065 14129 3405 206 5942 1439 87 628 155 8
0.00066 14126 3408 206 5941 1440 87 629 154 8
0.00067 14126 3408 206 5943 1438 87 629 154 8
0.00068 14127 3408 205 5944 1437 87 629 154 8
0.00069 14130 3406 205 5942 1438 87 629 154 8
0.0007 14129 3407 205 5943 1438 86 629 154 8
0.00071 14126 3409 206 5944 1437 86 629 154 8
0.00072 14126 3407 207 5945 1437 86 629 154 8
0.00073 14127 3406 207 5945 1437 86 629 154 8
0.00074 14127 3407 207 5943 1438 86 629 154 8
0.00075 14128 3406 207 5941 1441 85 629 154 8
0.00076 14124 3411 205 5940 1442 85 631 153 8
0.00077 14123 3412 205 5941 1440 86 631 153 8
0.00078 14124 3410 206 5942 1439 86 631 153 8
0.00079 14122 3412 206 5942 1439 86 631 153 8
0.0008 14120 3416 204 5943 1439 86 631 152 8
0.00081 14119 3417 205 5942 1440 85 631 152 8
0.00082 14118 3416 205 5944 1440 85 630 153 8
0.00083 14120 3414 205 5946 1438 85 630 153 8
0.00084 14120 3416 204 5945 1438 85 630 153 8
0.00085 14119 3418 203 5944 1439 85 630 153 8
0.00086 14119 3418 203 5944 1439 85 630 153 8
0.00087 14120 3416 204 5945 1438 85 630 153 8
0.00088 14120 3415 205 5945 1438 85 630 153 8
0.00089 14119 3415 205 5948 1436 85 629 154 8
0.0009 14119 3415 205 5948 1436 85 629 154 8
0.00091 14118 3416 205 5949 1435 85 629 154 8
0.00092 14117 3418 204 5948 1435 86 629 154 8
0.00093 14119 3416 203 5949 1434 87 629 154 8
0.00094 14119 3416 203 5948 1435 87 628 155 8
0.00095 14119 3415 204 5948 1435 87 628 155 8
0.00096 14120 3414 204 5948 1435 87 628 155 8
0.00097 14119 3415 204 5946 1437 87 628 155 8
0.00098 14123 3413 203 5944 1438 87 628 155 8
0.00099 14125 3411 203 5943 1439 87 628 155 8
0.001 14126 3410 203 5942 1440 87 628 155 8
0.00101 14127 3409 203 5942 1440 87 628 155 8
0.00102 14128 3408 203 5944 1440 87 626 155 8
0.00103 14127 3409 203 5944 1440 87 626 155 8
0.00104 14125 3411 203 5945 1439 87 626 155 8
0.00105 14123 3413 203 5944 1440 87 626 155 8
0.00106 14122 3414 203 5944 1441 86 626 155 8
0.00107 14122 3414 203 5944 1441 86 626 155 8
0.00108 14122 3414 203 5944 1441 86 626 155 8
0.00109 14121 3415 203 5946 1439 86 626 155 8
0.0011 14120 3414 203 5947 1440 86 626 155 8
0.00111 14118 3416 203 5946 1441 86 626 155 8
0.00112 14122 3413 203 5944 1442 86 626 155 8
0.00113 14120 3414 203 5943 1444 86 626 155 8
0.00114 14120 3414 203 5944 1443 86 626 155 8
0.00115 14121 3414 203 5944 1442 86 626 155 8
0.00116 14119 3416 202 5946 1442 85 626 155 8
0.00117 14116 3419 202 5948 1440 85 627 154 8
0.00118 14116 3419 202 5948 1441 84 627 154 8
0.00119 14112 3423 202 5949 1440 84 627 154 8
0.0012 14111 3426 201 5946 1442 84 627 154 8
0.00121 14112 3426 201 5943 1446 82 626 155 8
0.00122 14114 3424 202 5942 1448 80 626 155 8
0.00123 14113 3426 201 5941 1449 80 626 155 8
0.00124 14115 3426 201 5942 1446 80 625 156 8
0.00125 14117 3423 201 5941 1448 80 625 156 8
0.00126 14116 3425 200 5939 1450 80 625 156 8
0.00127 14113 3427 201 5938 1451 80 625 156 8
0.00128 14112 3428 201 5938 1451 80 625 156 8
0.00129 14110 3430 201 5937 1452 80 625 156 8
0.0013 14110 3430 201 5937 1452 80 625 156 8
0.00131 14112 3428 202 5935 1453 80 625 156 8
0.00132 14113 3428 202 5934 1453 80 626 155 8
0.00133 14113 3429 201 5933 1454 80 626 155 8
0.00134 14112 3428 202 5934 1454 80 626 155 8
