#Seconds h0m0 h0m1 h0m2 h1m0 h1m1 h1m2 h2m0 h2m1 h2m2
0 14085 3452 203 5976 1454 89 632 155 9
1e-05 14086 3451 203 5976 1454 89 632 155 9
2e-05 14085 3452 203 5975 1455 89 632 155 9
3e-05 14087 3451 203 5974 1456 88 632 155 9
4e-05 14087 3450 204 5973 1457 88 632 155 9
5e-05 14088 3449 204 5972 1458 88 632 155 9
6e-05 14086 3451 204 5972 1457 88 633 155 9
7e-05 14083 3454 204 5972 1457 88 633 155 9
8e-05 14083 3454 204 5971 1458 88 633 155 9
9e-05 14086 3451 204 5970 1460 87 634 154 9
0.0001 14087 3449 204 5970 1461 87 634 154 9
0.00011 14084 3454 203 5970 1460 87 634 154 9
0.00012 14083 3456 203 5969 1460 87 634 154 9
0.00013 14085 3454 203 5969 1460 87 634 154 9
0.00014 14087 3452 203 5967 1462 87 634 154 9
0.00015 14092 3447 203 5967 1462 87 634 154 9
0.00016 14094 3445 203 5966 1462 88 634 154 9
0.00017 14094 3445 203 5966 1462 88 634 154 9
0.00018 14092 3447 203 5964 1464 88 634 154 9
0.00019 14091 3447 203 5966 1464 88 633 154 9
0.0002 14092 3446 203 5967 1463 88 633 154 9
0.00021 14093 3445 203 5968 1463 88 632 154 9
0.00022 14092 3445 203 5968 1464 88 632 154 9
0.00023 14092 3446 202 5968 1464 88 632 154 9
0.00024 14091 3446 203 5968 1463 89 632 154 9
0.00025 14090 3446 203 5969 1463 89 632 154 9
0.00026 14088 3448 203 5970 1463 89 632 153 9
0.00027 14089 3448 203 5970 1461 90 632 153 9
0.00028 14090 3447 203 5971 1460 90 632 153 9
0.00029 14092 3446 202 5972 1459 90 632 153 9
0.0003 14093 3445 202 5971 1460 90 632 153 9
0.00031 14094 3444 202 5971 1459 91 632 153 9
0.00032 14093 3443 204 5972 1458 91 632 153 9
0.00033 14092 3445 204 5971 1457 91 633 153 9
0.00034 14092 3444 204 5972 1457 91 633 153 9
0.00035 14092 3443 204 5973 1457 91 633 153 9
0.00036 14090 3442 205 5976 1456 91 633 153 9
0.00037 14092 3441 205 5975 1456 91 633 153 9
0.00038 14092 3441 205 5975 1456 91 633 153 9
0.00039 14092 3442 204 5975 1456 91 632 154 9
0.0004 14092 3443 204 5974 1456 91 632 154 9
0.00041 14094 3442 204 5974 1455 91 632 154 9
0.00042 14094 3442 204 5974 1456 90 632 154 9
0.00043 14097 3440 205 5974 1454 90 632 154 9
0.00044 14098 3439 205 5974 1454 90 632 154 9
0.00045 14099 3438 205 5975 1453 90 632 154 9
0.00046 14100 3438 205 5974 1453 90 632 154 9
0.00047 14096 3442 205 5976 1451 90 632 154 9
0.00048 14097 3439 205 5977 1452 90 631 155 9
0.00049 14097 3439 205 5977 1452 90 631 155 9
0.0005 14097 3439 205 5978 1450 91 631 155 9
0.00051 14099 3440 205 5975 1449 92 633 153 9
0.00052 14097 3442 205 5975 1449 92 632 154 9
0.00053 14098 3441 205 5974 1450 92 632 154 9
0.00054 14099 3441 204 5975 1449 92 632 154 9
0.00055 14098 3443 204 5974 1449 92 632 154 9
0.00056 14095 3445 204 5974 1450 92 630 156 9
0.00057 14096 3445 203 5975 1449 92 630 156 9
0.00058 14096 3446 203 5974 1449 92 630 156 9
0.00059 14098 3445 202 5974 1449 92 630 156 9
0.0006 14096 3447 202 5974 1449 92 630 156 9
0.00061 14096 3446 203 5973 1450 92 630 156 9
0.00062 14097 3446 203 5973 1449 92 630 156 9
0.00063 14097 3446 203 5973 1449 92 630 156 9
0.00064 14098 3446 202 5974 1447 93 630 156 9
0.00065 14096 3447 202 5976 1446 93 630 156 9
0.00066 14094 3448 202 5977 1446 93 630 156 9
0.00067 14091 3450 202 5977 1447 93 629 157 9
0.00068 14091 3450 202 5976 1448 93 629 157 9
0.00069 14092 3449 202 5976 1448 93 629 157 9
0.0007 14093 3448 202 5976 1448 93 629 157 9
0.00071 14090 3450 202 5978 1447 93 629 157 9
0.00072 14091 3450 202 5977 1447 93 629 157 9
0.00073 14092 3449 202 5976 1448 93 629 157 9
0.00074 14090 3452 201 5977 1447 93 629 157 9
0.00075 14089 3454 200 5977 1447 93 629 157 9
0.00076 14092 3451 200 5978 1446 93 629 157 9
0.00077 14090 3452 200 5980 1445 93 629 157 9
0.00078 14092 3448 200 5980 1447 93 628 158 9
0.00079 14092 3448 200 5980 1447 93 628 158 9
0.0008 14092 3448 200 5980 1446 94 628 158 9
0.00081 14092 3448 200 5979 1448 93 628 158 9
0.00082 14093 3447 200 5979 1448 93 627 159 9
0.00083 14093 3445 200 5981 1448 94 626 159 9
0.00084 14094 3444 200 5981 1448 94 626 159 9
0.00085 14094 3444 200 5979 1450 94 625 160 9
0.00086 14095 3443 200 5980 1449 94 625 160 9
0.00087 14094 3442 201 5982 1448 94 624 161 9
0.00088 14093 3444 201 5982 1447 94 624 161 9
0.00089 14092 3445 201 5981 1447 94 625 161 9
