#Seconds Ca.Conc.az Ca.Pre
0 0 58
1e-05 0 59
2e-05 0 59
3e-05 0 59
4e-05 0 61
5e-05 0 55
6e-05 0 51
7e-05 0 53
8e-05 0 57
9e-05 0 57
0.0001 0 58
0.00011 0 60
0.00012 0 62
0.00013 0 58
0.00014 0 59
0.00015 0 57
0.00016 0 58
0.00017 0 56
0.00018 0 58
0.00019 0 59
0.0002 0 60
0.00021 0 61
0.00022 0 61
0.00023 0 55
0.00024 0 56
0.00025 0 57
0.00026 0 55
0.00027 0 54
0.00028 0 55
0.00029 0 57
0.0003 0 56
0.00031 0 53
0.00032 0 53
0.00033 0 58
0.00034 0 58
0.00035 0 59
0.00036 0 60
0.00037 0 61
0.00038 0 59
0.00039 0 54
0.0004 0 53
0.00041 0 55
0.00042 0 55
0.00043 0 53
0.00044 0 54
0.00045 0 57
0.00046 0 54
0.00047 0 51
0.00048 0 55
0.00049 0 54
0.0005 0 52
0.00051 0 56
0.00052 0 59
0.00053 0 56
0.00054 0 55
0.00055 0 56
0.00056 0 56
0.00057 0 58
0.00058 0 59
0.00059 0 57
0.0006 0 53
0.00061 0 53
0.00062 0 52
0.00063 0 59
0.00064 0 63
0.00065 0 59
0.00066 0 59
0.00067 0 57
0.00068 0 55
0.00069 0 57
0.0007 0 56
0.00071 0 56
0.00072 0 62
0.00073 0 61
0.00074 0 59
0.00075 0 57
0.00076 0 55
0.00077 0 56
0.00078 0 53
0.00079 0 54
0.0008 0 56
0.00081 0 55
0.00082 0 57
0.00083 0 57
0.00084 0 59
0.00085 0 59
0.00086 0 58
0.00087 0 60
0.00088 0 52
0.00089 0 52
0.0009 0 52
0.00091 0 51
0.00092 0 53
0.00093 0 57
0.00094 0 55
0.00095 0 56
0.00096 0 57
0.00097 0 58
0.00098 0 58
0.00099 0 57
0.001 0 56
0.00101 0 57
0.00102 0 59
0.00103 0 58
0.00104 0 56
0.00105 0 54
0.00106 0 55
0.00107 0 54
0.00108 0 55
0.00109 0 52
0.0011 0 52
0.00111 0 47
0.00112 0 48
0.00113 0 45
0.00114 0 47
0.00115 0 51
0.00116 0 48
0.00117 0 47
0.00118 0 49
0.00119 0 50
0.0012 0 50
0.00121 0 53
0.00122 0 54
0.00123 0 53
0.00124 0 54
0.00125 0 53
0.00126 0 53
0.00127 0 55
0.00128 0 53
0.00129 0 55
0.0013 0 56
0.00131 0 57
0.00132 0 59
0.00133 0 57
0.00134 0 52
0.00135 0 53
0.00136 0 53
0.00137 0 55
0.00138 0 56
0.00139 0 59
0.0014 0 55
0.00141 0 56
0.00142 0 57
0.00143 0 56
0.00144 0 50
0.00145 0 50
0.00146 0 53
0.00147 0 56
0.00148 0 58
0.00149 0 55
0.0015 0 52
0.00151 0 57
0.00152 0 55
0.00153 0 55
0.00154 0 52
0.00155 0 54
0.00156 0 55
0.00157 0 58
0.00158 0 61
0.00159 0 60
0.0016 0 57
0.00161 0 58
