#Seconds PMCAoutFlux PMCAleakFlux
0 0 0
1e-05 0 0
2e-05 0 0
3e-05 0 0
4e-05 0 0
5e-05 1 0
6e-05 1 0
7e-05 1 0
8e-05 1 1
9e-05 1 1
0.0001 1 1
0.00011 1 1
0.00012 1 1
0.00013 1 1
0.00014 1 2
0.00015 1 2
0.00016 1 2
0.00017 1 2
0.00018 2 2
0.00019 2 2
0.0002 2 2
0.00021 3 2
0.00022 4 3
0.00023 5 3
0.00024 5 3
0.00025 5 3
0.00026 6 3
0.00027 6 3
0.00028 6 3
0.00029 6 5
0.0003 6 5
0.00031 6 5
0.00032 6 5
0.00033 6 5
0.00034 6 5
0.00035 6 5
0.00036 6 5
0.00037 6 5
0.00038 6 6
0.00039 6 7
0.0004 6 7
0.00041 6 7
0.00042 6 7
0.00043 6 7
0.00044 6 7
0.00045 6 7
0.00046 6 7
0.00047 6 7
0.00048 6 8
0.00049 7 8
0.0005 7 8
0.00051 7 8
0.00052 7 8
0.00053 7 8
0.00054 7 8
0.00055 7 8
0.00056 7 8
0.00057 7 8
0.00058 7 8
0.00059 7 8
0.0006 8 8
0.00061 8 8
0.00062 8 8
0.00063 8 10
0.00064 8 11
0.00065 8 11
0.00066 8 12
0.00067 8 12
0.00068 8 13
0.00069 8 13
0.0007 8 13
0.00071 8 13
0.00072 8 13
0.00073 9 13
0.00074 9 13
0.00075 9 13
0.00076 9 13
0.00077 9 13
0.00078 10 13
0.00079 10 13
0.0008 11 13
0.00081 12 13
0.00082 12 13
0.00083 12 14
0.00084 12 14
0.00085 12 15
0.00086 12 16
0.00087 13 16
0.00088 16 16
0.00089 16 16
0.0009 16 17
0.00091 16 17
0.00092 16 17
0.00093 17 19
0.00094 17 19
0.00095 17 19
0.00096 17 19
0.00097 17 19
0.00098 18 19
0.00099 19 19
0.001 19 19
0.00101 19 19
0.00102 19 19
0.00103 19 19
0.00104 20 19
0.00105 20 19
0.00106 20 20
0.00107 20 20
0.00108 20 20
0.00109 20 20
0.0011 20 20
0.00111 20 20
0.00112 20 20
0.00113 20 20
0.00114 20 21
0.00115 20 22
0.00116 21 22
0.00117 21 22
0.00118 21 22
0.00119 21 23
0.0012 21 25
0.00121 21 26
0.00122 21 26
0.00123 21 26
0.00124 21 26
0.00125 21 26
0.00126 21 26
0.00127 21 26
0.00128 21 26
0.00129 21 27
0.0013 21 27
0.00131 21 27
0.00132 22 27
0.00133 22 27
0.00134 23 27
0.00135 23 27
0.00136 24 27
0.00137 25 28
0.00138 26 28
0.00139 26 31
0.0014 26 31
0.00141 26 31
0.00142 26 32
0.00143 26 32
0.00144 26 32
0.00145 26 32
0.00146 26 32
0.00147 26 32
0.00148 26 32
0.00149 26 32
0.0015 26 32
0.00151 26 32
0.00152 27 32
0.00153 28 33
0.00154 28 33
0.00155 28 33
0.00156 28 33
0.00157 28 33
0.00158 29 33
0.00159 30 33
0.0016 30 33
0.00161 30 33
0.00162 31 33
0.00163 31 33
0.00164 31 33
0.00165 31 33
0.00166 31 34
0.00167 31 34
0.00168 31 34
0.00169 31 35
0.0017 32 35
0.00171 32 35
0.00172 33 35
0.00173 33 35
0.00174 33 35
0.00175 33 35
0.00176 33 35
0.00177 33 35
0.00178 33 36
0.00179 33 36
0.0018 33 36
0.00181 33 37
0.00182 33 37
0.00183 34 37
0.00184 34 37
0.00185 35 38
0.00186 35 38
0.00187 35 38
0.00188 35 38
0.00189 35 38
0.0019 35 38
0.00191 35 39
0.00192 35 39
0.00193 35 40
0.00194 36 40
0.00195 36 40
0.00196 36 40
0.00197 36 40
0.00198 36 40
0.00199 36 40
0.002 36 40
0.00201 36 40
0.00202 36 40
0.00203 37 40
0.00204 37 40
0.00205 37 40
0.00206 38 41
0.00207 38 42
0.00208 40 42
0.00209 40 43
0.0021 40 43
0.00211 40 43
0.00212 40 43
0.00213 41 43
0.00214 42 44
0.00215 43 44
0.00216 43 44
0.00217 43 44
0.00218 43 44
0.00219 45 44
0.0022 45 44
0.00221 45 45
0.00222 45 45
0.00223 45 45
0.00224 45 45
0.00225 45 45
0.00226 45 47
0.00227 45 47
0.00228 46 47
0.00229 46 47
0.0023 47 47
0.00231 47 47
0.00232 47 47
0.00233 48 47
0.00234 48 47
0.00235 48 47
0.00236 50 47
0.00237 54 47
0.00238 54 47
0.00239 54 47
0.0024 56 47
0.00241 57 47
0.00242 58 47
0.00243 59 47
0.00244 60 47
0.00245 60 47
0.00246 60 47
0.00247 61 47
0.00248 62 48
0.00249 62 49
0.0025 62 49
0.00251 63 50
0.00252 65 50
0.00253 65 50
0.00254 65 50
0.00255 66 50
0.00256 68 50
0.00257 69 50
0.00258 69 50
0.00259 70 51
0.0026 71 51
0.00261 71 51
0.00262 71 51
0.00263 71 51
0.00264 73 51
0.00265 76 51
0.00266 76 51
0.00267 77 51
0.00268 77 51
0.00269 80 52
0.0027 83 52
0.00271 84 52
