#Seconds Ca.Conc.az Ca.Pre
0 0 56
1e-05 0 54
2e-05 0 56
3e-05 0 58
4e-05 0 58
5e-05 0 57
6e-05 0 57
7e-05 0 56
8e-05 0 58
9e-05 0 59
0.0001 0 59
0.00011 0 63
0.00012 0 61
0.00013 0 61
0.00014 0 60
0.00015 0 61
0.00016 0 62
0.00017 0 65
0.00018 0 67
0.00019 0 64
0.0002 0 64
0.00021 0 63
0.00022 0 65
0.00023 0 63
0.00024 0 62
0.00025 0 61
0.00026 0 60
0.00027 0 62
0.00028 0 59
0.00029 0 64
0.0003 0 65
0.00031 0 65
0.00032 0 63
0.00033 0 63
0.00034 0 66
0.00035 0 62
0.00036 0 61
0.00037 0 63
0.00038 0 64
0.00039 0 67
0.0004 0 66
0.00041 0 67
0.00042 0 67
0.00043 0 69
0.00044 0 71
0.00045 0 74
0.00046 0 74
0.00047 0 76
0.00048 0 75
0.00049 0 77
0.0005 0 76
0.00051 0 74
0.00052 0 76
0.00053 0 73
0.00054 0 72
0.00055 0 71
0.00056 0 73
0.00057 0 71
0.00058 0 69
0.00059 0 67
0.0006 0 64
0.00061 0 65
0.00062 0 69
0.00063 0 67
0.00064 0 68
0.00065 0 65
0.00066 0 68
0.00067 0 68
0.00068 0 76
0.00069 0 83
0.0007 0 90
0.00071 0 92
0.00072 0 100
0.00073 0 103
0.00074 0 112
0.00075 0 116
0.00076 0 115
0.00077 0 123
0.00078 0 124
0.00079 0 134
0.0008 0 143
0.00081 0 156
0.00082 0 170
0.00083 0 182
0.00084 0 189
0.00085 0 207
0.00086 0 219
0.00087 0 231
0.00088 0 235
0.00089 0 237
0.0009 0.038460879 242
0.00091 0.038038232 254
0.00092 0.0564371594 253
0.00093 0.0558303083 263
0.00094 0.0552363688 276
0.00095 0.0546549334 289
0.00096 0.0540856111 291
0.00097 0.0535280275 308
0.00098 0.0529818232 323
0.00099 0.0524466532 340
0.001 0.0519221867 357
0.00101 0.0856801761 373
0.00102 0.0848401743 382
0.00103 0.0840164833 393
0.00104 0.0832086325 397
0.00105 0.0824161694 415
0.00106 0.0816386583 422
0.00107 0.274977313 445
0.00108 0.272431226 465
