#Seconds PMCAoutFlux PMCAleakFlux
0 0 0
1e-05 0 0
2e-05 0 0
3e-05 0 0
4e-05 1 0
5e-05 1 0
6e-05 1 0
7e-05 1 0
8e-05 1 0
9e-05 1 0
0.0001 1 1
0.00011 1 3
0.00012 2 3
0.00013 2 3
0.00014 2 3
0.00015 2 4
0.00016 2 4
0.00017 2 4
0.00018 2 5
0.00019 2 5
0.0002 2 6
0.00021 2 6
0.00022 2 6
0.00023 2 6
0.00024 2 6
0.00025 2 6
0.00026 2 6
0.00027 2 6
0.00028 3 6
0.00029 3 6
0.0003 3 6
0.00031 3 6
0.00032 3 6
0.00033 3 6
0.00034 3 6
0.00035 3 6
0.00036 3 6
0.00037 3 7
0.00038 3 8
0.00039 3 8
0.0004 3 9
0.00041 3 9
0.00042 3 9
0.00043 3 9
0.00044 3 9
0.00045 3 9
0.00046 3 9
0.00047 3 9
0.00048 3 9
0.00049 3 9
0.0005 5 9
0.00051 5 9
0.00052 5 9
0.00053 5 9
0.00054 5 9
0.00055 5 9
0.00056 5 9
0.00057 5 9
0.00058 6 9
0.00059 6 9
0.0006 6 9
0.00061 6 9
0.00062 7 9
0.00063 7 9
0.00064 7 9
0.00065 7 9
0.00066 7 9
0.00067 8 9
0.00068 8 9
0.00069 8 9
0.0007 8 9
0.00071 9 9
0.00072 9 9
0.00073 9 9
0.00074 10 10
0.00075 10 10
0.00076 10 10
0.00077 10 10
0.00078 11 11
0.00079 12 12
0.0008 12 12
0.00081 13 12
0.00082 14 12
0.00083 14 12
0.00084 16 12
0.00085 17 12
0.00086 17 12
0.00087 17 12
0.00088 17 12
0.00089 18 12
0.0009 23 12
0.00091 25 12
0.00092 27 12
0.00093 27 12
0.00094 28 13
0.00095 30 15
0.00096 32 15
0.00097 32 15
0.00098 32 16
0.00099 32 16
0.001 33 17
0.00101 33 18
0.00102 35 18
0.00103 38 18
0.00104 41 18
0.00105 41 18
0.00106 41 18
0.00107 41 18
0.00108 44 18
0.00109 44 19
0.0011 46 19
0.00111 46 19
0.00112 49 20
0.00113 50 20
0.00114 51 20
0.00115 51 20
0.00116 53 20
0.00117 53 20
0.00118 53 20
0.00119 57 20
0.0012 57 20
0.00121 58 21
0.00122 61 21
0.00123 65 21
0.00124 68 21
0.00125 70 21
0.00126 71 21
0.00127 72 21
0.00128 76 21
0.00129 77 21
0.0013 81 21
0.00131 82 21
0.00132 85 21
0.00133 86 22
0.00134 89 23
0.00135 93 24
0.00136 94 24
0.00137 97 24
0.00138 97 24
0.00139 98 24
0.0014 98 24
0.00141 98 24
0.00142 100 24
0.00143 103 24
0.00144 105 24
0.00145 105 24
0.00146 105 24
0.00147 107 24
0.00148 112 24
0.00149 114 25
0.0015 115 25
0.00151 118 25
0.00152 120 26
0.00153 120 26
0.00154 120 27
0.00155 121 27
0.00156 124 27
0.00157 126 27
0.00158 129 27
0.00159 133 27
0.0016 133 27
0.00161 136 27
0.00162 136 27
0.00163 137 27
0.00164 138 27
0.00165 142 27
0.00166 143 27
0.00167 143 27
0.00168 145 27
0.00169 147 27
0.0017 147 27
0.00171 149 27
0.00172 149 27
0.00173 152 28
0.00174 153 29
0.00175 156 29
0.00176 158 29
0.00177 160 29
0.00178 163 30
0.00179 169 30
0.0018 170 30
0.00181 170 30
0.00182 171 30
0.00183 172 31
0.00184 174 31
0.00185 176 32
0.00186 178 32
0.00187 178 32
0.00188 179 32
0.00189 181 32
0.0019 183 32
0.00191 186 32
0.00192 187 32
0.00193 188 33
0.00194 188 33
0.00195 189 33
0.00196 191 33
0.00197 192 33
0.00198 194 33
0.00199 194 33
0.002 196 33
0.00201 196 33
0.00202 198 33
0.00203 202 33
0.00204 202 33
0.00205 203 33
0.00206 205 33
0.00207 205 33
0.00208 207 33
0.00209 207 33
0.0021 208 33
0.00211 208 33
0.00212 211 33
0.00213 211 33
0.00214 212 33
0.00215 212 33
0.00216 212 33
0.00217 213 33
0.00218 213 33
0.00219 213 33
0.0022 214 34
0.00221 214 34
0.00222 215 34
0.00223 218 35
0.00224 221 35
0.00225 223 35
0.00226 223 35
0.00227 222 35
0.00228 224 35
0.00229 225 35
0.0023 226 35
0.00231 228 35
0.00232 230 35
0.00233 230 36
0.00234 231 36
0.00235 232 36
0.00236 233 36
0.00237 233 37
0.00238 233 37
0.00239 234 37
0.0024 234 37
0.00241 234 38
0.00242 234 38
0.00243 234 38
0.00244 235 39
0.00245 235 39
0.00246 236 39
0.00247 236 39
0.00248 236 39
0.00249 237 39
0.0025 237 39
0.00251 238 39
0.00252 238 39
0.00253 238 39
0.00254 238 39
0.00255 238 39
0.00256 239 39
0.00257 239 39
0.00258 239 39
0.00259 239 39
0.0026 239 39
0.00261 241 39
0.00262 241 39
0.00263 243 39
0.00264 244 39
0.00265 244 39
0.00266 246 39
0.00267 247 40
0.00268 247 40
0.00269 249 40
0.0027 250 40
0.00271 250 41
