47	122	146	202	202	525
51	108	166	190	190	550
57	124	177	200	200	325
41	97	153	185	185	675
61	103	189	223	223	450
67	141	176	197	197	250
55	116	198	216	216	300
88	163	183	210	210	200
117	181	191	235	235	150
71	177	178	193	193	225
58	99	143	211	211	700
59	127	158	181	181	400
63	124	172	207	207	375
68	139	154	200	200	275
105	159	211	214	214	175
58	129	166	206	206	500
43	112	175	211	211	475
184	336	298	257	257	75
454	398	345	268	268	-50
38	119	156	212	212	575
51	131	175	194	194	350
49	117	149	189	189	625
34	90	150	224	224	750
61	114	167	182	182	425
613	493	258	218	218	0
455	480	298	247	247	25
41	105	149	209	209	600
44	103	163	206	206	650
354	396	256	235	235	50
141	263	255	242	242	100
45	122	136	195	195	725
105	243	204	224	224	125
611	490	299	222	222	-25
