#Seconds Ca.Conc.az Ca.Pre
0 0 56
1e-05 0 57
2e-05 0 58
3e-05 0 61
4e-05 0 63
5e-05 0 60
6e-05 0 58
7e-05 0 58
8e-05 0 58
9e-05 0 60
0.0001 0 59
0.00011 0 58
0.00012 0 58
0.00013 0 61
0.00014 0 59
0.00015 0 62
0.00016 0 61
0.00017 0 59
0.00018 0 58
0.00019 0 56
0.0002 0 60
0.00021 0 61
0.00022 0 61
0.00023 0 59
0.00024 0 61
0.00025 0 59
0.00026 0 59
0.00027 0 60
0.00028 0 62
0.00029 0 65
0.0003 0 67
0.00031 0 68
0.00032 0 66
0.00033 0 63
0.00034 0 60
0.00035 0 66
0.00036 0 67
0.00037 0 68
0.00038 0 66
0.00039 0 61
0.0004 0 62
0.00041 0 62
0.00042 0 58
0.00043 0 58
0.00044 0 58
0.00045 0 60
0.00046 0 60
0.00047 0 56
0.00048 0 57
0.00049 0 56
0.0005 0 57
0.00051 0 59
0.00052 0 53
0.00053 0 55
0.00054 0 53
0.00055 0 51
0.00056 0 51
0.00057 0 51
0.00058 0 50
0.00059 0 45
0.0006 0 45
0.00061 0 45
0.00062 0 45
0.00063 0 44
0.00064 0 46
0.00065 0 49
0.00066 0 47
0.00067 0 43
0.00068 0 46
0.00069 0 48
0.0007 0 48
0.00071 0 50
0.00072 0 51
0.00073 0 48
0.00074 0 45
0.00075 0 45
0.00076 0 47
0.00077 0 45
0.00078 0 47
0.00079 0 45
0.0008 0 47
0.00081 0 47
0.00082 0 48
0.00083 0.0417045676 51
0.00084 0.0412080847 48
0.00085 0.0407232837 50
0.00086 0.0402497571 50
0.00087 0.0397871162 48
0.00088 0.0393349899 45
0.00089 0.0388930237 45
0.0009 0.038460879 46
0.00091 0.038038232 46
0.00092 0.037624773 47
0.00093 0.0372202055 44
0.00094 0.0368242459 48
0.00095 0.0364366222 46
0.00096 0.0360570741 46
0.00097 0.0356853517 45
0.00098 0.0353212154 47
0.00099 0.0349644355 48
0.001 0.0346147911 47
0.00101 0.0342720704 47
0.00102 0.0339360697 48
0.00103 0.0336065933 49
0.00104 0.033283453 49
0.00105 0.0329664677 52
0.00106 0.0326554633 52
0.00107 0.0323502721 47
0.00108 0.0320507325 45
0.00109 0.0317566891 47
0.0011 0.0314679919 49
0.00111 0.0311844965 45
0.00112 0.0309060635 44
0.00113 0.0306325585 50
0.00114 0.0303638519 51
0.00115 0.0300998184 53
0.00116 0.0298403372 55
0.00117 0.0295852916 55
0.00118 0.0293345688 53
0.00119 0.0290880598 55
0.0012 0.0288456593 57
0.00121 0.0286072654 59
0.00122 0.0283727796 60
0.00123 0.0281421066 60
0.00124 0.0279151541 61
0.00125 0.0276918329 64
0.00126 0.0274720565 63
0.00127 0.027255741 61
0.00128 0.0270428056 66
0.00129 0.0268331714 64
0.0013 0.0266267624 62
0.00131 0.0264235047 61
0.00132 0.0262233266 58
0.00133 0.0260261587 60
0.00134 0.0258319337 63
0.00135 0.025640586 63
0.00136 0.0254520523 62
0.00137 0.0252662709 62
0.00138 0.025083182 61
0.00139 0.0249027274 59
0.0014 0.0247248508 62
0.00141 0.0245494973 60
0.00142 0.0243766135 61
0.00143 0.0242061476 62
0.00144 0.0240380494 59
0.00145 0.0238722697 58
0.00146 0.023708761 55
0.00147 0.023547477 58
0.00148 0.0233883724 55
0.00149 0.0232314034 53
0.0015 0.0230765274 56
0.00151 0.0229237027 59
0.00152 0.0227728889 61
0.00153 0.0226240465 63
0.00154 0.0224771371 61
0.00155 0.0223321233 61
0.00156 0.0221889687 62
0.00157 0.0220476377 62
0.00158 0.0219080957 63
0.00159 0.0217703089 61
0.0016 0.0216342445 61
0.00161 0.0214998703 62
0.00162 0.021367155 63
0.00163 0.0212360682 64
0.00164 0.02110658 63
0.00165 0.0209786613 64
0.00166 0.0208522838 62
0.00167 0.0207274198 61
0.00168 0.0206040423 58
0.00169 0.0204821249 55
0.0017 0.0203616418 60
0.00171 0.0202425679 61
0.00172 0.0201248786 65
0.00173 0.0200085498 64
0.00174 0.0198935581 63
0.00175 0.0197798806 62
0.00176 0.019667495 58
0.00177 0.0195563792 60
0.00178 0.0194465119 59
0.00179 0.0193378721 61
0.0018 0.0192304395 62
0.00181 0.019124194 62
0.00182 0.019019116 61
0.00183 0.0189151864 59
0.00184 0.0188123865 56
0.00185 0.0187106979 53
0.00186 0.148880822 57
0.00187 0.148084668 63
0.00188 0.147296984 66
0.00189 0.146517634 64
0.0019 0.145746489 65
0.00191 0.144983418 64
0.00192 0.144228296 65
0.00193 0.143480999 63
0.00194 0.142741407 67
0.00195 0.1420094 69
0.00196 0.141284862 71
0.00197 0.14056768 75
0.00198 0.139857742 74
0.00199 0.139154939 78
0.002 0.138459165 76
0.00201 0.137770313 73
0.00202 0.137088282 74
0.00203 0.13641297 76
0.00204 0.135744279 73
0.00205 0.160410008 81
0.00206 0.159631318 82
0.00207 0.158860153 83
0.00208 0.158096402 87
0.00209 0.16562101 87
0.0021 0.164832339 91
0.00211 0.164051143 88
0.00212 0.187768914 94
0.00213 0.18688737 98
0.00214 0.186014064 95
0.00215 0.185148883 104
0.00216 0.184291712 117
0.00217 0.1914182 122
0.00218 0.190540135 125
0.00219 0.189670088 135
0.0022 0.188807952 135
0.00221 0.187953617 141
0.00222 0.187106979 148
0.00223 0.186267934 156
0.00224 0.185436381 155
0.00225 0.184612219 152
0.00226 0.183795351 162
0.00227 0.18298568 165
0.00228 0.182183111 175
0.00229 0.196503181 186
0.0023 0.218223683 184
0.00231 0.262233266 192
0.00232 0.26110295 196
0.00233 0.259982337 195
0.00234 0.258871301 192
0.00235 0.257769721 191
0.00236 0.256677477 196
0.00237 0.255594449 197
0.00238 0.254520523 200
0.00239 0.253455584 211
0.0024 0.252399519 210
0.00241 0.280078185 216
0.00242 0.278920838 224
0.00243 0.277773015 238
0.00244 0.276634601 254
0.00245 0.27550548 267
0.00246 0.295492119 271
0.00247 0.294295795 280
0.00248 0.307066695 286
0.00249 0.305833496 302
0.0025 0.304610162 321
0.00251 0.303396576 328
0.00252 0.302192621 338
0.00253 0.300998184 363
0.00254 0.299813152 379
0.00255 0.312211842 384
0.00256 0.310992264 394
0.00257 0.309782177 430
0.00258 0.308581471 437
0.00259 0.307390037 466
0.0026 0.312864458 491
0.00261 0.311665744 506
0.00262 0.31047618 534
0.00263 0.315876421 562
0.00264 0.314679919 587
0.00265 0.313492448 604
0.00266 0.312313905 622
0.00267 0.31114419 638
0.00268 0.309983204 658
0.00269 0.30883085 682
0.0027 0.307687032 716
0.00271 0.306551656 753
0.00272 0.305424628 793
0.00273 0.304305856 824
0.00274 0.303195251 856
0.00275 0.302092723 879
0.00276 0.369976934 926
0.00277 0.368641277 946
0.00278 0.36731523 984
0.00279 0.403218893 1017
0.0028 0.401778826 1056
0.00281 0.400349008 1084
0.00282 0.39892933 1119
0.00283 0.409751061 1176
0.00284 0.408308276 1223
0.00285 0.406875615 1263
0.00286 0.405452973 1307
0.00287 0.47037521 1367
0.00288 0.516818062 1401
0.00289 0.527007201 1447
0.0029 0.560998339 1468
0.00291 0.55907051 1516
0.00292 0.574937455 1572
0.00293 0.572975212 1612
0.00294 0.665216224 1661
0.00295 0.727497305 1700
0.00296 0.748427916 1751
0.00297 0.745907957 1786
0.00298 0.824714822 1827
0.00299 0.839321858 1870
0.003 0.87113891 1929
0.00301 0.94299431 1965
0.00302 0.962795515 2019
0.00303 0.959617972 2061
0.00304 0.956461334 2108
0.00305 0.953325395 2105
0.00306 0.967177987 2132
0.00307 0.975302747 2149
0.00308 1.02270974 2152
0.00309 1.05860769 2181
0.0031 1.05519283 2185
0.00311 1.0851904 2221
0.00312 1.10390119 2235
0.00313 1.10037435 2245
0.00314 1.17954861 2271
0.00315 1.17580402 2270
0.00316 1.19399121 2292
0.00317 1.19022468 2303
0.00318 1.18648183 2304
0.00319 1.22074107 2300
0.0032 1.21692625 2324
0.00321 1.21852692 2301
0.00322 1.23624254 2308
0.00323 1.30743174 2336
0.00324 1.41557402 2346
0.00325 1.54435222 2355
0.00326 1.59270511 2358
0.00327 1.61429836 2352
0.00328 1.61465337 2342
0.00329 1.60974561 2357
0.0033 1.62584625 2357
0.00331 1.63139197 2339
0.00332 1.62647814 2330
0.00333 1.62159382 2351
0.00334 1.65819359 2341
0.00335 1.67907569 2312
0.00336 1.73589057 2294
0.00337 1.73073956 2264
0.00338 1.7870654 2224
0.00339 1.7971101 2184
0.0034 1.85290941 2160
0.00341 1.8627021 2117
0.00342 1.85725561 2077
0.00343 1.85184087 2032
0.00344 1.85652005 1985
0.00345 1.89127192 1937
0.00346 1.92582292 1899
0.00347 1.97015022 1865
0.00348 2.01919615 1815
